Year,Location,Origin,Escapement,Spawners
2017,Above Tumwater,Natural,52,75
2017,Above Tumwater,Hatchery,99,121
2017,Below Tumwater,Natural,28,10
2017,Below Tumwater,Hatchery,43,6
2018,Above Tumwater,Natural,72,28
2018,Above Tumwater,Hatchery,49,23
2018,Below Tumwater,Natural,0,2
2018,Below Tumwater,Hatchery,10,1
2019,Above Tumwater,Natural,30,58
2019,Above Tumwater,Hatchery,2,29
2019,Below Tumwater,Natural,0,4
2019,Below Tumwater,Hatchery,37,4
2021,Above Tumwater,Natural,98,76
2021,Above Tumwater,Hatchery,91,72
2021,Below Tumwater,Natural,12,1
2021,Below Tumwater,Hatchery,88,0
